order_id,order_date,product_category,customer_type,units,unit_price,order_value,shipping_cost,delivery_days,customer_rating
NC-20352,2026-01-18,Electronics,New,1,7211.96,7211.96,121.93,1.1,3
NC-20091,2026-01-19,Electronics,Returning,3,1613.72,4841.16,158.19,5.1,5
NC-20296,2026-01-19,Sports,Returning,1,1550.6,1550.6,126.66,2.3,4
NC-20492,2026-01-20,Apparel,New,2,510.86,1021.72,175.88,5.6,5
NC-20385,2026-01-21,Apparel,New,1,1030.05,1030.05,136.6,4.2,5
NC-20468,2026-01-21,Beauty,Returning,1,1075.09,1075.09,103.05,4.8,5
NC-20105,2026-01-22,Beauty,New,1,559.68,559.68,110.26,3.6,4
NC-20346,2026-01-23,Sports,Returning,1,1111.78,1111.78,170.1,4.6,4
NC-20185,2026-01-24,Sports,New,2,703.05,1406.1,138.27,4.4,4
NC-20340,2026-01-24,Electronics,Returning,3,8634.02,25902.06,165.89,1.0,4
NC-20324,2026-01-24,Beauty,Returning,2,1040.2,2080.4,158.5,4.8,3
NC-20339,2026-01-25,Apparel,New,1,991.51,991.51,172.48,4.2,5
NC-20392,2026-01-25,Beauty,Wholesale,54,602.52,32536.08,196.29,4.9,4
NC-20301,2026-01-25,Home & Living,Wholesale,42,817.44,34332.48,208.06,9.4,2
NC-20231,2026-01-25,Apparel,New,1,617.82,617.82,113.05,3.2,2
NC-20433,2026-01-26,Home & Living,Wholesale,31,964.5,29899.5,156.12,10.0,2
NC-20313,2026-01-26,Home & Living,Wholesale,50,677.05,33852.5,118.29,4.0,2
NC-20315,2026-01-26,Apparel,New,2,1168.62,2337.24,201.8,4.4,4
NC-20395,2026-01-27,Apparel,New,4,1082.26,4329.04,189.35,4.3,4
NC-20369,2026-01-27,Beauty,New,2,320.58,641.16,139.25,3.7,5
NC-20377,2026-01-27,Apparel,Returning,2,1353.81,2707.62,83.65,4.1,4
NC-20128,2026-01-28,Apparel,New,2,1255.4,2510.8,104.97,3.3,3
NC-20337,2026-01-28,Beauty,Returning,3,249.86,749.58,149.16,5.4,4
NC-20152,2026-01-28,Beauty,New,1,461.39,461.39,112.69,3.9,4
NC-20387,2026-01-28,Sports,New,1,683.35,683.35,147.55,2.1,4
NC-20477,2026-01-28,Home & Living,New,1,3362.94,3362.94,147.52,4.8,4
NC-20142,2026-01-29,Home & Living,Returning,2,2196.76,4393.52,149.02,4.4,5
NC-20449,2026-01-30,Home & Living,Returning,2,2135.69,4271.38,85.42,14.0,1
NC-20087,2026-01-31,Home & Living,Wholesale,45,793.26,35696.7,154.62,3.7,5
NC-20139,2026-02-01,Home & Living,Returning,1,1526.56,1526.56,93.8,4.8,4
NC-20114,2026-02-01,Sports,New,2,1604.3,3208.6,120.36,5.5,5
NC-20336,2026-02-02,Apparel,New,1,974.67,974.67,186.34,3.9,5
NC-20010,2026-02-02,Apparel,New,2,1445.6,2891.2,178.59,4.7,3
NC-20473,2026-02-02,Beauty,Wholesale,57,734.05,41840.85,168.09,4.0,5
NC-20052,2026-02-03,Home & Living,Returning,2,1434.97,2869.94,198.46,5.4,4
NC-20118,2026-02-03,Electronics,New,2,13789.88,27579.76,179.41,2.8,3
NC-20148,2026-02-03,Apparel,New,2,662.06,1324.12,146.23,4.1,5
NC-20016,2026-02-04,Home & Living,Returning,2,2526.43,5052.86,176.07,28.5,2
NC-20409,2026-02-04,Apparel,New,1,1190.29,1190.29,165.34,4.7,2
NC-20410,2026-02-04,Beauty,New,1,471.93,4719.3,152.84,4.6,5
NC-20498,2026-02-04,Apparel,New,2,767.61,1535.22,140.75,4.6,3
NC-20013,2026-02-05,Apparel,New,1,835.16,835.16,146.81,4.9,5
NC-20448,2026-02-06,Beauty,Returning,1,471.76,471.76,176.14,4.2,4
NC-20497,2026-02-06,Beauty,Returning,1,421.94,421.94,140.17,5.5,3
NC-20246,2026-02-06,Apparel,New,4,763.61,3054.44,155.78,5.5,4
NC-20186,2026-02-06,Electronics,New,1,4594.4,51839.34,176.13,5.1,4
NC-20367,2026-02-07,Apparel,New,2,507.92,1015.84,148.55,4.9,5
NC-20305,2026-02-08,Beauty,Returning,2,693.86,1387.72,192.04,5.0,5
NC-20129,2026-02-08,Electronics,Returning,1,2573.82,2573.82,153.76,7.9,4
NC-20487,2026-02-08,Apparel,New,1,930.65,930.65,171.4,5.0,3
NC-20216,2026-02-10,Apparel,New,2,1678.06,3356.12,145.42,3.6,4
NC-20107,2026-02-11,Home & Living,New,2,486.64,973.28,121.61,1.8,5
NC-20272,2026-02-11,Electronics,Wholesale,41,1492.47,61191.27,124.43,2.8,5
NC-20284,2026-02-11,Home & Living,Wholesale,22,961.99,21163.78,149.59,2.8,4
NC-20093,2026-02-11,Apparel,Wholesale,38,1196.53,45468.14,177.62,5.1,4
NC-20482,2026-02-11,Apparel,Returning,1,460.6,460.6,173.23,3.7,5
NC-20277,2026-02-11,Electronics,Returning,2,11584.02,23168.04,137.63,2.3,2
NC-20273,2026-02-12,Apparel,New,1,981.82,981.82,135.88,3.3,4
NC-20402,2026-02-12,Sports,Returning,1,3844.48,3844.48,167.09,4.0,4
NC-20071,2026-02-12,Home & Living,Returning,3,5266.07,15798.21,123.74,6.7,2
NC-20311,2026-02-13,Home & Living,Wholesale,32,553.21,17702.72,218.14,5.6,3
NC-20333,2026-02-13,Beauty,New,2,876.89,1753.78,181.12,5.1,4
NC-20240,2026-02-13,Sports,New,4,617.32,2469.28,164.01,5.8,5
NC-20414,2026-02-13,Apparel,Returning,2,2034.76,4069.52,153.42,3.7,5
NC-20035,2026-02-14,Home & Living,Returning,2,467.12,934.24,134.06,1.0,2
NC-20175,2026-02-14,Electronics,Returning,3,3496.77,10490.31,143.54,5.4,4
NC-20480,2026-02-14,Electronics,Returning,1,2884.22,2884.22,127.26,7.5,4
NC-20294,2026-02-14,Home & Living,Returning,3,1440.55,4321.65,171.77,4.4,2
NC-20249,2026-02-15,Beauty,Returning,1,662.99,662.99,124.58,4.6,2
NC-20428,2026-02-15,Apparel,Returning,2,2140.57,4281.14,154.21,5.0,5
NC-20244,2026-02-16,Home & Living,New,2,2079.51,4159.02,150.81,3.1,5
NC-20267,2026-02-16,Sports,New,2,1826.24,3652.48,98.27,2.9,4
NC-20362,2026-02-17,Home & Living,Returning,3,996.28,2988.84,160.78,6.6,4
NC-20419,2026-02-18,Home & Living,New,2,1464.07,2928.14,146.91,8.6,2
NC-20137,2026-02-18,Sports,New,1,1397.26,1397.26,188.64,4.8,5
NC-20011,2026-02-19,Apparel,Returning,2,769.97,1539.94,178.27,4.8,4
NC-20289,2026-02-19,Beauty,New,1,673.45,673.45,143.08,5.3,3
NC-20126,2026-02-19,Apparel,New,3,815.96,2447.88,127.17,4.5,4
NC-20076,2026-02-19,Beauty,New,1,846.83,846.83,145.35,4.8,5
NC-20202,2026-02-20,Home & Living,Returning,1,1434.02,1434.02,153.14,2.8,3
NC-20044,2026-02-20,Beauty,Returning,1,300.61,300.61,164.22,3.8,4
NC-20145,2026-02-21,Apparel,New,2,911.72,1823.44,168.84,4.3,4
NC-20316,2026-02-21,Beauty,Returning,1,1078.35,1078.35,134.98,4.5,3
NC-20164,2026-02-21,Electronics,New,1,6340.79,6340.79,134.01,3.5,3
NC-20030,2026-02-21,Home & Living,New,1,1528.14,1528.14,140.46,1.0,4
NC-20060,2026-02-21,Home & Living,New,1,2281.63,2281.63,160.77,6.4,4
NC-20135,2026-02-22,Sports,Returning,3,1808.17,5424.51,128.69,3.7,4
NC-20491,2026-02-22,Apparel,Returning,4,379.05,1516.2,210.18,3.2,5
NC-20420,2026-02-22,Apparel,Returning,1,522.64,522.64,149.7,5.0,5
NC-20488,2026-02-22,Home & Living,New,4,5022.06,20088.24,133.08,4.9,2
NC-20442,2026-02-24,Apparel,Returning,2,599.57,1199.14,162.22,5.3,3
NC-20094,2026-02-24,Home & Living,Returning,2,1004.15,2008.3,168.04,1.2,5
NC-20251,2026-02-24,Apparel,Returning,1,1528.43,1528.43,149.89,4.4,2
NC-20472,2026-02-24,Apparel,Wholesale,23,333.35,7667.05,124.29,4.9,4
NC-20096,2026-02-24,Beauty,Returning,1,579.81,579.81,117.44,3.3,5
NC-20031,2026-02-25,Home & Living,New,2,1518.87,3037.74,152.38,8.0,4
NC-20486,2026-02-25,Apparel,Returning,2,1540.18,3080.36,135.54,3.6,4
NC-20467,2026-02-25,Beauty,New,1,775.73,775.73,150.23,3.9,5
NC-20146,2026-02-25,Sports,Returning,1,765.57,765.57,127.19,5.5,4
NC-20230,2026-02-25,Beauty,New,1,564.33,564.33,155.32,4.6,2
NC-20493,2026-02-26,Sports,Returning,2,2074.95,4149.9,182.3,4.0,4
NC-20365,2026-02-26,Home & Living,New,3,1023.21,3069.63,159.85,2.1,5
NC-20106,2026-02-27,Apparel,New,1,1497.57,1497.57,126.36,4.7,4
NC-20495,2026-02-27,Home & Living,Wholesale,30,1476.15,44284.5,139.83,5.0,5
NC-20064,2026-02-27,Electronics,New,2,2741.08,5482.16,127.71,2.4,4
NC-20312,2026-02-27,Apparel,New,1,1837.6,1837.6,189.03,3.7,5
NC-20025,2026-02-27,Electronics,Returning,1,9913.93,9913.93,147.68,8.7,2
NC-20119,2026-02-28,Apparel,Returning,1,464.93,464.93,132.32,4.6,5
NC-20100,2026-02-28,Electronics,Returning,1,1658.68,1658.68,113.65,4.1,4
NC-20056,2026-02-28,Electronics,New,3,3558.53,10675.59,156.65,7.2,2
NC-20247,2026-03-01,Electronics,Returning,2,2166.54,4333.08,118.47,3.4,5
NC-20275,2026-03-01,Apparel,New,1,721.83,721.83,140.47,4.1,5
NC-20004,2026-03-01,Apparel,Returning,3,1422.77,4268.31,143.04,3.8,5
NC-20476,2026-03-01,Home & Living,Returning,3,5874.75,17624.25,106.79,1.1,3
NC-20099,2026-03-02,Electronics,Returning,4,741.5,2966.0,115.23,2.0,5
NC-20391,2026-03-02,Beauty,New,1,743.64,743.64,145.02,4.5,5
NC-20408,2026-03-02,Beauty,Wholesale,40,310.25,12410.0,182.21,3.6,5
NC-20171,2026-03-03,Apparel,Returning,1,557.56,557.56,134.34,5.4,4
NC-20351,2026-03-03,Apparel,Wholesale,58,1051.97,61014.26,198.2,6.1,4
NC-20413,2026-03-04,Sports,Returning,1,1540.54,1540.54,138.23,7.2,5
NC-20203,2026-03-04,Home & Living,Returning,1,1476.48,1476.48,161.75,4.0,3
NC-20478,2026-03-06,Home & Living,Returning,1,865.6,865.6,149.73,5.7,2
NC-20292,2026-03-06,Electronics,New,2,2123.23,4246.46,77.5,3.4,5
NC-20021,2026-03-06,Apparel,New,2,1070.86,2141.72,118.46,3.8,2
NC-20143,2026-03-06,Apparel,Returning,1,551.2,551.2,192.62,2.2,3
NC-20051,2026-03-06,Apparel,Returning,3,777.53,2332.59,149.48,3.9,2
NC-20173,2026-03-07,Home & Living,New,2,904.56,1809.12,119.7,4.2,3
NC-20225,2026-03-08,Home & Living,New,3,931.61,2794.83,153.62,7.2,5
NC-20322,2026-03-08,Electronics,New,3,2370.7,7112.1,141.09,3.3,4
NC-20239,2026-03-08,Home & Living,Returning,1,693.51,693.51,134.31,5.9,5
NC-20258,2026-03-09,Beauty,New,1,669.64,49951.35,154.31,3.5,3
NC-20300,2026-03-09,Apparel,Returning,1,685.28,685.28,98.62,3.0,2
NC-20070,2026-03-09,Apparel,New,1,947.22,947.22,221.28,3.6,4
NC-20158,2026-03-09,Apparel,New,1,1201.7,1201.7,114.97,3.8,5
NC-20430,2026-03-09,Home & Living,Wholesale,41,1019.85,41813.85,174.47,5.7,4
NC-20102,2026-03-10,Home & Living,Returning,1,1315.42,1315.42,175.56,1.0,4
NC-20361,2026-03-10,Apparel,Returning,3,1068.57,3205.71,131.35,4.3,5
NC-20088,2026-03-10,Apparel,Wholesale,42,924.81,38842.02,168.65,3.5,5
NC-20450,2026-03-11,Beauty,Returning,3,537.18,1611.54,143.86,3.3,4
NC-20082,2026-03-11,Sports,Returning,1,641.28,641.28,159.88,7.2,5
NC-20068,2026-03-11,Electronics,Returning,3,2793.79,8381.37,159.38,1.3,4
NC-20438,2026-03-11,Home & Living,Returning,1,1573.54,1573.54,145.71,1.3,5
NC-20182,2026-03-12,Beauty,Returning,2,509.4,1018.8,149.73,4.9,5
NC-20484,2026-03-12,Sports,New,1,1372.82,1372.82,135.7,3.1,5
NC-20443,2026-03-12,Electronics,Wholesale,38,1286.41,48883.58,191.75,1.0,5
NC-20360,2026-03-13,Home & Living,New,2,1837.78,3675.56,159.18,7.5,5
NC-20374,2026-03-13,Sports,Wholesale,46,2120.84,97558.64,113.25,2.3,5
NC-20303,2026-03-14,Beauty,Returning,5,733.26,3666.3,143.37,4.5,3
NC-20141,2026-03-14,Beauty,New,2,542.04,1084.08,166.87,5.1,4
NC-20214,2026-03-14,Home & Living,Returning,2,2725.31,5450.62,173.9,1.9,5
NC-20463,2026-03-14,Home & Living,New,3,1873.73,5621.19,135.69,8.0,5
NC-20183,2026-03-14,Beauty,New,1,455.2,455.2,143.48,4.1,5
NC-20108,2026-03-15,Home & Living,Returning,4,1480.17,5920.68,146.7,1.3,2
NC-20124,2026-03-16,Home & Living,New,1,1328.51,1328.51,132.46,4.4,3
NC-20348,2026-03-16,Sports,New,3,504.14,1512.42,181.51,4.8,2
NC-20460,2026-03-16,Apparel,New,1,841.25,841.25,240.51,6.2,5
NC-20285,2026-03-16,Beauty,Returning,2,439.75,879.5,125.82,4.9,4
NC-20123,2026-03-17,Beauty,Wholesale,46,491.62,22614.52,195.19,2.5,5
NC-20334,2026-03-17,Electronics,Returning,2,2266.65,4533.3,163.68,3.9,4
NC-20253,2026-03-17,Apparel,Returning,2,1530.63,3061.26,147.98,4.0,3
NC-20421,2026-03-17,Home & Living,New,1,1349.92,1349.92,116.85,5.5,5
NC-20032,2026-03-17,Apparel,New,3,789.35,2368.05,120.82,4.1,5
NC-20400,2026-03-19,Home & Living,New,3,3367.11,10101.33,182.53,4.5,4
NC-20260,2026-03-19,Apparel,Returning,4,1352.98,5411.92,180.09,3.5,5
NC-20331,2026-03-19,Home & Living,Returning,3,2212.67,6638.01,166.48,2.7,4
NC-20172,2026-03-19,Home & Living,New,1,1521.23,1521.23,192.99,4.1,5
NC-20271,2026-03-20,Home & Living,Returning,3,1167.45,3502.35,134.32,1.0,5
NC-20406,2026-03-20,Sports,Returning,2,1757.85,3515.7,151.51,4.6,2
NC-20278,2026-03-20,Beauty,Returning,2,516.21,1032.42,148.69,999.0,2
NC-20166,2026-03-20,Apparel,New,1,1609.14,1609.14,122.87,5.6,4
NC-20223,2026-03-20,Home & Living,Wholesale,54,1020.71,55118.34,148.01,4.5,5
NC-20005,2026-03-20,Apparel,Returning,3,842.37,2527.11,108.76,4.7,4
NC-20181,2026-03-21,Sports,New,3,1812.44,5437.32,149.84,6.4,5
NC-20290,2026-03-21,Sports,New,1,1048.51,1048.51,133.21,5.9,4
NC-20426,2026-03-22,Sports,New,1,1013.4,1013.4,136.13,3.7,4
NC-20140,2026-03-22,Sports,Returning,1,1031.62,1031.62,128.01,3.5,5
NC-20168,2026-03-22,Home & Living,Wholesale,56,1304.18,73034.08,196.01,7.5,3
NC-20397,2026-03-22,Beauty,Returning,1,290.84,290.84,98.52,3.7,5
NC-20454,2026-03-25,Home & Living,New,2,2029.98,4059.96,147.95,5.3,5
NC-20432,2026-03-26,Electronics,New,2,2031.6,4063.2,106.72,6.6,4
NC-20471,2026-03-26,Electronics,New,1,8170.65,8170.65,137.42,7.4,4
NC-20357,2026-03-26,Beauty,Returning,1,560.24,560.24,159.12,3.4,2
NC-20474,2026-03-26,Home & Living,Returning,2,1052.34,2104.68,126.68,5.5,2
NC-20245,2026-03-26,Electronics,Returning,1,7197.09,7197.09,139.29,2.7,5
NC-20162,2026-03-29,Sports,New,2,1277.79,2555.58,157.96,5.6,3
NC-20039,2026-03-30,Beauty,Returning,3,558.6,1675.8,143.24,5.4,5
NC-20151,2026-03-30,Apparel,Returning,1,1501.11,1501.11,103.72,4.0,3
NC-20266,2026-03-31,Electronics,Returning,1,5852.12,5852.12,115.89,4.7,4
NC-20062,2026-03-31,Home & Living,New,1,3660.1,3660.1,143.31,4.9,5
NC-20138,2026-03-31,Home & Living,Returning,2,1781.42,3562.84,158.65,999.0,4
NC-20255,2026-03-31,Apparel,New,2,1209.09,2418.18,120.81,3.8,5
NC-20452,2026-03-31,Home & Living,New,1,1722.13,1722.13,135.75,9.1,1
NC-20489,2026-04-01,Sports,New,1,777.78,7777.8,150.15,5.5,5
NC-20380,2026-04-02,Sports,Wholesale,28,1805.17,50544.76,149.73,4.2,4
NC-20235,2026-04-02,Electronics,New,1,9759.98,9759.98,148.93,3.0,2
NC-20205,2026-04-02,Home & Living,Returning,2,557.57,1115.14,199.18,3.8,3
NC-20209,2026-04-02,Beauty,New,2,650.13,1300.26,150.58,4.7,4
NC-20282,2026-04-03,Apparel,Returning,3,653.75,1961.25,161.26,4.6,4
NC-20335,2026-04-03,Sports,New,1,1478.46,1478.46,199.82,4.1,4
NC-20195,2026-04-03,Electronics,New,4,1613.47,6453.88,150.46,4.4,2
NC-20115,2026-04-04,Electronics,New,1,4090.47,4090.47,102.39,1.0,4
NC-20213,2026-04-05,Electronics,Returning,1,5842.31,5842.31,143.07,5.3,4
NC-20326,2026-04-05,Electronics,Returning,1,3867.11,3867.11,137.31,1.8,4
NC-20321,2026-04-05,Sports,New,1,1192.88,1192.88,131.61,5.1,5
NC-20320,2026-04-05,Beauty,Returning,1,619.53,619.53,143.08,5.2,5
NC-20257,2026-04-05,Electronics,New,3,3037.54,9112.62,143.67,8.1,1
NC-20415,2026-04-05,Apparel,New,5,595.72,2978.6,145.61,4.1,2
NC-20154,2026-04-06,Beauty,New,3,469.4,1408.2,119.65,4.7,2
NC-20279,2026-04-07,Beauty,Wholesale,34,287.93,9789.62,163.44,5.1,5
NC-20500,2026-04-07,Electronics,New,2,2435.32,4870.64,110.83,1.0,4
NC-20283,2026-04-08,Electronics,New,2,5378.05,10756.1,154.32,28.0,1
NC-20386,2026-04-08,Apparel,New,2,484.31,968.62,207.02,4.4,5
NC-20307,2026-04-08,Apparel,Wholesale,43,1489.41,64044.63,213.06,4.3,5
NC-20234,2026-04-08,Sports,New,1,1466.78,1466.78,133.97,5.0,3
NC-20020,2026-04-08,Sports,Returning,3,1302.74,3908.22,108.05,6.0,5
NC-20238,2026-04-09,Apparel,Returning,1,609.49,609.49,210.56,5.4,5
NC-20390,2026-04-09,Beauty,New,2,483.62,967.24,113.25,4.6,5
NC-20120,2026-04-10,Beauty,Returning,2,666.88,1333.76,184.62,5.0,4
NC-20330,2026-04-10,Electronics,New,1,3178.87,3178.87,142.71,22.0,1
NC-20024,2026-04-10,Electronics,Returning,1,4146.6,4146.6,193.71,1.9,5
NC-20318,2026-04-11,Apparel,Returning,1,857.42,857.42,146.13,4.5,5
NC-20184,2026-04-11,Home & Living,Returning,3,630.7,1892.1,144.78,1.0,4
NC-20417,2026-04-11,Beauty,Returning,2,1033.34,2066.68,127.74,3.5,4
NC-20485,2026-04-11,Apparel,Returning,1,992.49,992.49,96.18,4.7,4
NC-20373,2026-04-11,Sports,New,1,1333.86,1333.86,135.48,4.0,5
NC-20252,2026-04-12,Home & Living,Returning,1,2780.79,2780.79,178.85,7.1,5
NC-20429,2026-04-13,Beauty,Returning,3,935.6,2806.8,194.18,4.5,4
NC-20220,2026-04-13,Beauty,Returning,1,378.18,378.18,144.57,3.4,2
NC-20297,2026-04-14,Sports,Returning,2,1684.32,3368.64,161.46,5.4,5
NC-20014,2026-04-15,Apparel,Returning,1,931.92,931.92,138.41,0.0,2
NC-20122,2026-04-15,Home & Living,New,1,2225.26,2225.26,191.38,1.1,5
NC-20293,2026-04-15,Beauty,Wholesale,46,776.34,35711.64,191.53,3.8,5
NC-20269,2026-04-15,Apparel,Returning,3,297.1,891.3,111.72,4.1,3
NC-20097,2026-04-16,Electronics,New,3,1220.62,3661.86,188.54,2.9,2
NC-20022,2026-04-16,Electronics,Returning,2,2538.12,5076.24,171.46,1.8,5
NC-20046,2026-04-16,Beauty,New,2,1033.7,2067.4,141.84,2.6,3
NC-20479,2026-04-17,Apparel,New,2,968.8,1937.6,114.89,4.5,4
NC-20090,2026-04-17,Apparel,Returning,1,1522.1,46948.06,153.71,3.5,4
NC-20043,2026-04-18,Home & Living,Returning,2,850.35,1700.7,198.33,3.1,5
NC-20059,2026-04-18,Sports,New,1,974.46,974.46,124.68,4.1,4
NC-20456,2026-04-18,Apparel,New,1,748.47,748.47,141.19,3.4,4
NC-20236,2026-04-19,Electronics,Returning,2,3229.0,6458.0,123.73,3.6,4
NC-20196,2026-04-20,Home & Living,Returning,1,3433.08,3433.08,115.91,5.3,4
NC-20317,2026-04-21,Sports,Returning,2,1774.87,3549.74,107.67,3.7,5
NC-20204,2026-04-21,Electronics,Returning,2,3130.94,6261.88,95.66,1.0,5
NC-20407,2026-04-21,Home & Living,New,3,1600.07,4800.21,124.76,2.5,4
NC-20370,2026-04-21,Electronics,New,3,1428.77,4286.31,177.24,6.8,4
NC-20067,2026-04-21,Apparel,New,2,628.62,1257.24,150.31,3.7,4
NC-20036,2026-04-22,Apparel,New,2,1061.37,2122.74,207.66,4.7,3
NC-20073,2026-04-22,Beauty,Wholesale,46,319.27,14686.42,199.41,4.9,5
NC-20206,2026-04-22,Electronics,New,2,3006.73,6013.46,149.45,6.6,2
NC-20378,2026-04-22,Home & Living,New,3,1322.5,3967.5,159.05,5.3,2
NC-20160,2026-04-23,Electronics,New,2,2053.71,4107.42,127.91,4.8,4
NC-20446,2026-04-24,Apparel,New,2,2599.56,5199.12,140.64,3.2,3
NC-20193,2026-04-24,Electronics,New,1,2820.66,2820.66,145.74,6.3,4
NC-20054,2026-04-24,Apparel,New,1,1978.92,1978.92,171.07,3.8,4
NC-20085,2026-04-24,Sports,New,1,375.91,375.91,161.37,5.5,2
NC-20376,2026-04-24,Sports,New,2,791.39,1582.78,135.4,4.6,5
NC-20371,2026-04-24,Electronics,New,3,1195.37,3586.11,201.78,2.8,5
NC-20161,2026-04-25,Apparel,New,1,1998.97,1998.97,189.62,5.2,2
NC-20038,2026-04-25,Electronics,New,1,2114.22,2114.22,139.91,8.7,3
NC-20002,2026-04-26,Sports,Returning,1,1082.66,1082.66,141.87,4.2,5
NC-20178,2026-04-26,Beauty,Returning,3,577.43,1732.29,166.34,5.0,2
NC-20451,2026-04-27,Apparel,Returning,2,1287.72,2575.44,220.1,5.1,5
NC-20490,2026-04-27,Sports,New,2,1242.0,2484.0,123.14,4.0,4
NC-20103,2026-04-27,Apparel,New,2,967.54,1935.08,183.52,4.5,5
NC-20065,2026-04-29,Apparel,New,1,1334.97,1334.97,102.54,4.4,5
NC-20455,2026-04-30,Home & Living,Returning,2,1095.17,2190.34,187.17,3.9,3
NC-20368,2026-04-30,Beauty,Returning,4,0.0,2037.84,153.66,5.0,4
NC-20332,2026-04-30,Apparel,New,4,439.03,1756.12,164.18,4.5,5
NC-20459,2026-05-01,Beauty,Returning,2,371.08,742.16,137.3,4.8,3
NC-20265,2026-05-01,Electronics,New,1,3774.18,3774.18,86.82,1.0,5
NC-20133,2026-05-01,Apparel,New,1,600.43,600.43,189.14,4.0,3
NC-20228,2026-05-01,Home & Living,Wholesale,49,1906.68,93427.32,212.4,4.9,5
